,년도,분기,호선명,지하철역,시간대_00~06_승차_인원,시간대_06~11_승차_인원,시간대_11~14_승차_인원,시간대_14~17_승차_인원,시간대_17~21_승차_인원,시간대_21~24_승차_인원,시간대_00~06_하차_인원,시간대_06~11_하차_인원,시간대_11~14_하차_인원,시간대_14~17_하차_인원,시간대_17~21_하차_인원,시간대_21~24_하차_인원
11680,2020,1,5호선,애오개,6169,196498,71348,76209,130861,42438,9082,172594,56167,69719,138687,71410
11681,2020,1,5호선,양평,6451,195753,56993,62466,162684,42140,6704,206290,46085,53689,130801,69690
11682,2020,1,5호선,여의나루,3240,65666,47650,103910,312542,95566,5944,333675,74596,111394,95505,34901
11683,2020,1,5호선,여의도,9608,134127,134680,248197,974252,309611,13169,1319016,185310,152836,191811,62270
11684,2020,1,5호선,영등포구청,3441,78153,34069,43312,91335,29216,2702,118759,32148,36120,62170,28314
11685,2020,1,5호선,영등포시장,8956,194723,90131,132702,215903,77173,6106,249974,126308,117685,165890,75695
11686,2020,1,5호선,오금,3546,82502,36015,38903,77210,23904,4204,104647,25868,32298,58088,32376
11687,2020,1,5호선,오목교(목동운동장앞),16502,467896,217320,290310,469862,298114,15172,568203,276958,293355,518634,207542
11688,2020,1,5호선,올림픽공원(한국체대),2301,104156,47061,55821,65251,22359,4291,74966,40248,44920,61798,33191
11689,2020,1,5호선,왕십리(성동구청),6674,74058,45373,59852,94671,63721,6290,112060,58980,67928,109127,41954
11690,2020,1,5호선,우장산,16050,505934,178958,160280,144902,63522,13704,159324,122706,176418,356556,200748
11691,2020,1,5호선,을지로4가,2117,25063,43953,79598,209413,57549,1564,267420,72334,55301,32672,9326
11692,2020,1,5호선,장한평,19782,521131,162937,195757,360710,109281,14816,412945,158844,180328,378825,196450
11693,2020,1,5호선,종로3가,8035,62053,129061,222770,385841,236815,4510,365298,241188,200894,178063,49877
11694,2020,1,5호선,천호(풍납토성),24600,310339,211115,269807,369644,235922,16063,344344,222295,267108,430019,191482
11695,2020,1,5호선,청구,5119,88106,46082,47301,85798,35540,3322,92282,32204,38824,69976,37333
11696,2020,1,5호선,충정로(경기대입구),3339,62294,35152,43821,142722,36558,2765,181099,29812,31776,53259,28994
11697,2020,1,5호선,행당,11911,330223,90956,74885,72992,34008,8315,78054,56760,81828,201532,104195
11698,2020,1,5호선,화곡,62622,1168221,321800,272636,276594,125121,28171,261526,185366,301178,781655,440449
11699,2020,1,6호선,고려대(종암),10207,209302,84454,99051,141962,56872,9235,167471,72707,79479,145036,90418
11700,2020,1,6호선,공덕,18752,253636,165159,212562,485958,208174,17307,603503,152888,160751,259717,117799
11701,2020,1,6호선,광흥창(서강),8912,203565,96534,101546,190848,70048,8810,246120,76939,86500,147633,79107
11702,2020,1,6호선,구산,14262,283798,91967,78229,69876,32642,5729,63637,50150,75951,142493,76649
11703,2020,1,6호선,녹사평(용산구청),5293,70316,48765,69094,122105,86271,4006,119343,63960,78406,109522,45828
11704,2020,1,6호선,대흥(서강대앞),7810,163594,85690,100284,163381,79634,8096,214669,89768,96071,141492,70605
11705,2020,1,6호선,독바위,5691,114498,32489,29750,23082,8404,4669,33764,24448,31548,78159,48245
11706,2020,1,6호선,돌곶이,16893,311606,103534,92183,101409,43219,10241,119993,68403,95953,204443,111495
11707,2020,1,6호선,동묘앞,13987,121906,112800,155431,178505,60056,8639,201970,119594,120658,113712,66191
11708,2020,1,6호선,디지털미디어시티,17093,377029,109033,123080,293710,79585,19725,430874,91423,115030,260269,144912
11709,2020,1,6호선,마포구청,18645,426148,152456,151954,223352,92451,14662,245196,111359,139790,260052,156054
11710,2020,1,6호선,망원,18562,315736,150490,178396,258449,161447,10762,258657,192597,238725,333664,141262
11711,2020,1,6호선,버티고개,2568,61822,25910,25403,39504,14636,2554,40475,18961,25587,45166,26569
11712,2020,1,6호선,보문,11147,230325,80704,79438,109332,48102,9804,123867,57305,69651,145616,91942
11713,2020,1,6호선,봉화산(서울의료원),14750,396032,99464,84336,85201,34075,14049,95361,62742,91472,225948,135095
11714,2020,1,6호선,불광,4443,104624,56521,76810,78633,38853,4477,70139,51772,64341,106330,51052
11715,2020,1,6호선,삼각지,4942,86307,59260,82807,153572,66029,5301,157359,45807,47841,78181,46789
11716,2020,1,6호선,상수,15466,122064,72927,107738,196483,167121,8833,190194,140532,145976,231354,94331
11717,2020,1,6호선,상월곡(한국과학기술연구원),13491,227102,68627,60045,69809,27323,6839,80938,43272,62007,129131,77493
11718,2020,1,6호선,새절(신사),27583,519047,144903,125726,120023,50490,17173,116425,91656,144474,331056,195165
11719,2020,1,6호선,석계,26567,483272,142222,122495,121087,61831,19109,116586,94089,154515,360728,202065
11720,2020,1,6호선,신내,2,2,0,3,3,1,0,0,0,0,0,0
11721,2020,1,6호선,신당,29233,111803,84737,102289,181898,116589,9040,251360,85220,76799,142880,72356
11722,2020,1,6호선,안암(고대병원앞),10250,118140,106508,159774,233869,127404,12560,275310,128535,114621,148868,84289
11723,2020,1,6호선,약수,4643,61662,40580,47099,79930,40267,2347,107917,38318,43165,60440,26959
11724,2020,1,6호선,역촌,5910,144673,44678,40309,40309,15592,5040,59196,36410,50057,112681,61438
11725,2020,1,6호선,연신내,0,8,10,8,10,8,0,0,0,0,0,0
11726,2020,1,6호선,월곡(동덕여대),19041,379170,128780,126452,154233,68872,11838,167545,99357,135978,272116,146675
11727,2020,1,6호선,월드컵경기장(성산),4138,89139,52745,90059,84706,43273,4918,84935,75858,83887,89135,39402
11728,2020,1,6호선,응암,30998,685449,201962,176258,165644,75383,23374,154701,128147,201738,485237,278331
11729,2020,1,6호선,이태원,42507,166388,107516,160623,261051,256570,21070,219411,160394,202324,339773,182648
11730,2020,1,6호선,증산(명지대앞),21039,398098,118991,101353,100603,43000,13655,92228,72822,121784,269343,161393
11731,2020,1,6호선,창신,6849,138023,35096,30893,33854,15002,3965,44614,21296,28933,61440,40041
11732,2020,1,6호선,청구,4819,81717,38673,40470,81056,36864,3953,141842,34827,39972,56327,30921
11733,2020,1,6호선,태릉입구,12130,178508,60312,58596,65273,32038,12728,72388,49756,69645,153807,85105
11734,2020,1,6호선,한강진,3424,44027,37281,101216,221201,166375,5765,278930,118748,113416,143191,29913
11735,2020,1,6호선,합정,16804,183581,121003,171576,315452,237756,11357,305798,151454,169857,274472,107772
11736,2020,1,6호선,화랑대(서울여대입구),15362,496284,117165,106577,97388,32595,14497,86668,58829,87858,245469,143286
11737,2020,1,6호선,효창공원앞,7292,184521,72341,78556,130981,45398,7007,141481,58992,68169,117646,64329
11738,2020,1,7호선,가산디지털단지,25977,227004,207123,382046,1750268,496957,21963,2233082,283831,240061,239286,98104
11739,2020,1,7호선,강남구청,9834,98082,100045,187894,499635,247853,10352,789861,172862,134351,135646,56284
11740,2020,1,7호선,건대입구,17633,174817,119068,185912,284202,217185,13299,289497,176558,194988,296296,114531
